organization_name	datasource	primary_account	datasource_account	datasource_account_name	primary_account_name
BH Management	BH Management - BH Management		8779-11	Rehab Ex Misc-Mold Compliance-Do Not Use	
BH Management	BH Management - BH Management		8779-12	Rehab Ex Misc-Supervision Fees-Do Not Use	
BH Management	BH Management - BH Management		8779-13	Rehab Ex Misc-Salaries-Do Not Use	
BH Management	BH Management - BH Management		8779-14	Rehab Ex Misc-Flex Application Costs-Do Not Use	
BH Management	BH Management - BH Management		8779-90	Rehab Ex Misc-Other-Do Not Use	
BH Management	BH Management - BH Management		8785-00	Rehab-Deletions	
BH Management	BH Management - BH Management		8910-00	Professional Fees	
BH Management	BH Management - BH Management		8910-01	Professional Fees-Property Tax Appeal	
BH Management	BH Management - BH Management		8910-09	Professional Fees-Other	
BH Management	BH Management - BH Management		8911-00	Audit Fees	
BH Management	BH Management - BH Management		8912-00	Printer/Filing Fees	
BH Management	BH Management - BH Management		8913-00	Director Fees	
BH Management	BH Management - BH Management		8914-00	Stock Comp Expense	
BH Management	BH Management - BH Management		8915-00	Legal Fees	
BH Management	BH Management - BH Management		8920-00	Travel	
BH Management	BH Management - BH Management		8930-00	Mailings	
BH Management	BH Management - BH Management		8970-00	Asset Management Fees	
BH Management	BH Management - BH Management		8970-01	Valuation Fees	
BH Management	BH Management - BH Management		8975-00	Management Commissions	
BH Management	BH Management - BH Management		8980-00	Taxes-Franchise	
BH Management	BH Management - BH Management		8981-00	Taxes-Income	
BH Management	BH Management - BH Management		8989-00	Taxes-Other	
BH Management	BH Management - BH Management		8990-00	Entity Expense-Other	
BH Management	BH Management - BH Management		8990-01	Rental Lease Expense	
BH Management	BH Management - BH Management		8999-98	Total Entity Expenses	
BH Management	BH Management - BH Management		9010-00	Depreciation	
BH Management	BH Management - BH Management		9010-01	Accretion Expense	
BH Management	BH Management - BH Management		9010-09	Depreciation-Other	
BH Management	BH Management - BH Management		9020-00	Loss(Gain)-Sale of FA	
BH Management	BH Management - BH Management		9020-01	Loss-FA Value Impairment	
BH Management	BH Management - BH Management		9050-00	Amortization Expense	
BH Management	BH Management - BH Management		9055-00	Amortization Expense-Org Costs	
BH Management	BH Management - BH Management		9055-01	Amortization Expense-Acquisition Costs	
BH Management	BH Management - BH Management		9060-00	Amortization Expense-Lease In Place	
BH Management	BH Management - BH Management		9060-01	Amortization Expense-Lease Commissions	
BH Management	BH Management - BH Management		9090-00	Depreciation/Amortization-Other	
BH Management	BH Management - BH Management		9099-98	Total Depreciation and Amortization	
BH Management	BH Management - BH Management		9910-00	Casualty Loss(Gain)	
BH Management	BH Management - BH Management		9910-01	Casualty Loss(Gain)-Involuntary Conversion	
BH Management	BH Management - BH Management		9920-00	Organizational Costs	
BH Management	BH Management - BH Management		9920-01	Dead Deal Costs	
BH Management	BH Management - BH Management		9930-00	Charitable Contributions	
BH Management	BH Management - BH Management		9940-00	Gain/Loss-Fair Value	
BH Management	BH Management - BH Management		9950-00	Other Loan Fees & Refinance Fees	
BH Management	BH Management - BH Management		9951-00	Prepayment Penalty	
BH Management	BH Management - BH Management		9955-00	Expense-Refinance	
BH Management	BH Management - BH Management		9980-00	Prior Year Operating Expenses	
BH Management	BH Management - BH Management		9990-00	Other Activity	
BH Management	BH Management - BH Management		9990-01	Lease Commissions-Less than One Year	
BH Management	BH Management - BH Management		9990-98	Total Other	
BH Management	BH Management - BH Management		9990-99	Net Income	
BH Management	BH Management - BH Management	BH Custom Dashboard Only, expense display order 1		Total Repairs and Maintenance	2a. Total Repairs and Maintenance
BH Management	BH Management - BH Management	BH Custom Dashboard Only, expense display order 10		Total Operating Expenses	2j. Total Operating Expenses
BH Management	BH Management - BH Management	BH Custom Dashboard Only, expense display order 2		Total Labor Costs	2b. Total Labor Costs
BH Management	BH Management - BH Management	BH Custom Dashboard Only, expense display order 3		Total Advertising and Promotions	2c. Total Advertising and Promotions
BH Management	BH Management - BH Management	BH Custom Dashboard Only, expense display order 4		Total General and Administrative Costs	2d. Total General and Administrative Costs
BH Management	BH Management - BH Management	BH Custom Dashboard Only, expense display order 5		Total Utility Costs	2e. Total Utility Costs
BH Management	BH Management - BH Management	BH Custom Dashboard Only, expense display order 6		Total Management Fees	2f. Total Management Fees
BH Management	BH Management - BH Management	BH Custom Dashboard Only, expense display order 7		Total Insurance and Bonds	2g. Total Insurance and Bonds
BH Management	BH Management - BH Management	BH Custom Dashboard Only, expense display order 8		Total Property Taxes	2h. Total Property Taxes
BH Management	BH Management - BH Management	BH Custom Dashboard Only, expense display order 9		Total Other Property Expenses	2i. Total Other Property Expenses
BH Management	BH Management - BH Management	BH Custom Dashboard Only, revenue display order 1		Total Gross Potential Rent	1a. Total Gross Potential Rent
BH Management	BH Management - BH Management	BH Custom Dashboard Only, revenue display order 2		Total Deductions	1b. Total Deductions
BH Management	BH Management - BH Management	BH Custom Dashboard Only, revenue display order 3		Total Other Income	1c. Total Other Income
BH Management	BH Management - BH Management	BH Custom Dashboard Only, revenue display order 4		Total Income	1d. Total Income
BH Management	BH Management - BH Management	Category: Select all subtotals of expenses below NOI and above net income		Total Capital Expense	Non Operating Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of expenses below NOI and above net income		Total Debt Service-Entity Loans	Non Operating Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of expenses below NOI and above net income		Total Debt Service-Property	Non Operating Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of expenses below NOI and above net income		Total Depreciation and Amortization	Non Operating Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of expenses below NOI and above net income		Total Entity Expenses	Non Operating Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of expenses below NOI and above net income		Total Other	Non Operating Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of expenses below NOI and above net income		Total Start-Up Expense	Non Operating Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total capital expenditures		Change in Depreciation & Amortization	Capex Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total capital expenditures		Total Nonrec Capital Exp-Admin Bldgs	Capex Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total capital expenditures		Total Nonrec Capital Exp-Ext Bldng	Capex Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total capital expenditures		Total Nonrec Capital Exp-Int Bldng	Capex Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total capital expenditures		Total Nonrec Capital Exp-Landscaping	Capex Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total capital expenditures		Total Nonrec Capital Exp-Mech/Elect/Plumb	Capex Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total capital expenditures		Total Nonrec Capital Exp-Other	Capex Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total capital expenditures		Total Nonrec Capital Exp-Site Impr	Capex Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total capital expenditures		Total Recurring Capital Exp-Interiors	Capex Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total capital expenditures		Total Recurring Capital Exp-Other	Capex Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total operating expenses		Total Advertising and Promotions	Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total operating expenses		Total General and Administrative Costs	Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total operating expenses		Total Insurance and Bonds	Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total operating expenses		Total Labor Costs	Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total operating expenses		Total Management Fees	Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total operating expenses		Total Other Property Expenses	Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total operating expenses		Total Property Taxes	Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total operating expenses		Total Repairs and Maintenance	Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total operating expenses		Total Utility Costs	Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total operating expenses to be ordered		Total Advertising and Promotions	2. Total Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total operating expenses to be ordered		Total General and Administrative Costs	2. Total Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total operating expenses to be ordered		Total Insurance and Bonds	2. Total Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total operating expenses to be ordered		Total Labor Costs	2. Total Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total operating expenses to be ordered		Total Management Fees	2. Total Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total operating expenses to be ordered		Total Other Property Expenses	2. Total Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total operating expenses to be ordered		Total Property Taxes	2. Total Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total operating expenses to be ordered		Total Repairs and Maintenance	2. Total Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total operating expenses to be ordered		Total Utility Costs	2. Total Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total revenue		Total Deductions	Revenue Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total revenue		Total Gross Potential Rent	Revenue Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total revenue		Total Other Income	Revenue Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total revenue to be ordered		Total Deductions	1. Total Revenue Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total revenue to be ordered		Total Gross Potential Rent	1. Total Revenue Category
BH Management	BH Management - BH Management	Category: Select all subtotals of your total revenue to be ordered		Total Other Income	1. Total Revenue Category
BH Management	BH Management - BH Management	Category: Select all subtotals that are classified as controllable expenses		Total Advertising and Promotions	Controllable Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals that are classified as controllable expenses		Total General and Administrative Costs	Controllable Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals that are classified as controllable expenses		Total Labor Costs	Controllable Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals that are classified as controllable expenses		Total Repairs and Maintenance	Controllable Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals that are classified as non-controllable expenses		Total Insurance and Bonds	Non-Controllable Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals that are classified as non-controllable expenses		Total Management Fees	Non-Controllable Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals that are classified as non-controllable expenses		Total Other Property Expenses	Non-Controllable Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals that are classified as non-controllable expenses		Total Property Taxes	Non-Controllable Expense Category
BH Management	BH Management - BH Management	Category: Select all subtotals that are classified as non-controllable expenses		Total Utility Costs	Non-Controllable Expense Category
BH Management	BH Management - BH Management	GL Items & Total: Select all that contribute to inbound marketing activities or costs	6305-00	Promotions	Inbound Marketing Expense
BH Management	BH Management - BH Management	GL Items & Total: Select all that contribute to inbound marketing activities or costs	6320-00	Shopping Reports	Inbound Marketing Expense
BH Management	BH Management - BH Management	GL Items & Total: Select all that contribute to inbound marketing activities or costs	6325-00	Apartment Guides	Inbound Marketing Expense
BH Management	BH Management - BH Management	GL Items & Total: Select all that contribute to inbound marketing activities or costs	6330-00	Newspaper/Directory	Inbound Marketing Expense
BH Management	BH Management - BH Management	GL Items & Total: Select all that contribute to inbound marketing activities or costs	6335-00	Internet Advertising	Inbound Marketing Expense
BH Management	BH Management - BH Management	GL Items & Total: Select all that contribute to inbound marketing activities or costs	6340-00	Call Center	Inbound Marketing Expense
BH Management	BH Management - BH Management	GL Items & Total: Select all that contribute to inbound marketing activities or costs	6350-00	Advertising Signs/Flags/Banners	Inbound Marketing Expense
BH Management	BH Management - BH Management	GL Items & Total: Select all that contribute to inbound marketing activities or costs	6360-00	Visual Media/Photography	Inbound Marketing Expense
BH Management	BH Management - BH Management	GL Items & Total: Select all that contribute to inbound marketing activities or costs	6365-00	Direct Mail/Flyers	Inbound Marketing Expense
BH Management	BH Management - BH Management	GL Items & Total: Select all that contribute to inbound marketing activities or costs	6370-00	Resident Referrals	Inbound Marketing Expense
BH Management	BH Management - BH Management	GL Items & Total: Select all that contribute to inbound marketing activities or costs	6390-00	Advertising-Other	Inbound Marketing Expense
BH Management	BH Management - BH Management	GL Items & Total: Select all that record interior or unit-related capex expenditures	1618-01	Hard Surface Flooring - Int Apt	Interior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record interior or unit-related capex expenditures	1618-02	Appliances - Int Apt	Interior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record interior or unit-related capex expenditures	1618-04	Mirrors - - Int Apt	Interior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record interior or unit-related capex expenditures	1618-06	Cabinetry - Int Apt	Interior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record interior or unit-related capex expenditures	1618-07	Counters - Int Apt	Interior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record interior or unit-related capex expenditures	1618-08	Wood Trim/Doors - Int Apt	Interior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record interior or unit-related capex expenditures	1618-09	Carpet - Int Apt	Interior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record interior or unit-related capex expenditures	1618-10	Plumb Fixt/Sinks/GD - Int Apt	Interior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record interior or unit-related capex expenditures	1618-11	Replumbing - Int Apt	Interior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record interior or unit-related capex expenditures	1618-12	Light Fixtures - Int Apt	Interior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record interior or unit-related capex expenditures	1618-15	Tub Enclosures - Int Apt	Interior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record interior or unit-related capex expenditures	1618-16	Ceiling Fans - Int Apt	Interior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record interior or unit-related capex expenditures	1618-17	Lt Wt Concrete/Subflooring - Int Apt	Interior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record interior or unit-related capex expenditures	1618-18	Ceilings/Walls - Int Apt	Interior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record interior or unit-related capex expenditures	1618-19	Resurfacing/ReGlazing - Int Apt	Interior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record interior or unit-related capex expenditures	1618-90	Other - Int Apt	Interior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record interior or unit-related capex expenditures	1655-08	Stair/Rail - Int	Interior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record interior or unit-related capex expenditures	1655-11	Paint - Int	Interior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record interior or unit-related capex expenditures	1655-15	Hallways - Int	Interior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record interior or unit-related capex expenditures	1655-16	Laundry Facility - Int	Interior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record interior or unit-related capex expenditures	1655-17	Elevators - Int	Interior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record interior or unit-related capex expenditures	1655-90	Other Int Bldg Impr - Int	Interior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1619-60	Furnaces/AC Units - Rec	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1619-61	Hot Water Heaters - Rec	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1651-20	Sealcoat/Striping - Site	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1651-21	Fencing - Site	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1651-22	Carport/Garages - Site	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1651-23	Exterior Lighting - Site	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1651-24	Pool Rep/Decks/Equip - Site	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1651-25	Pool Furniture - Site	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1651-26	Pool Fence - Site	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1651-27	Drainage - Site	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1651-28	Sidewalks - Site	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1651-31	Retaining Wall - Site	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1651-32	Dumpster/Enclosures - Site	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1652-11	Tennis Court - Site	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1652-12	Tennis Court Equip - Site	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1652-15	Tennis Court Other - Site	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1652-21	Basketball Court - Site	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1652-22	Basketball Court Equip - Site	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1652-25	Basketball Court Other - Site	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1652-31	Volleyball Court - Site	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1652-32	Volleyball Court Equip - Site	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1652-35	Volleyball Court Other - Site	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1652-41	Childrens Play Court - Site	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1652-42	Childrens Play Court Equip - Site	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1652-45	Childrens Play Court Other - Site	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1652-51	Tennis Court - Site	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1652-52	Grill/Picnic Area Equip - Site	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1652-55	Volleyball Court - Site	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1652-61	Golf Course - Site	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1652-62	Golf Course Equip - Site	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1652-65	Sport Court/Golf Cse Other - Site	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1652-90	Other Site Impr - Site	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1653-01	Plants/Lawn - Lscp	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1653-02	Tree Removal/Trim - Lscp	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1653-03	Irrigation System/Sprinkler - Lscp	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1653-90	Other Landscaping - Lscp	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1654-01	Foundations - Ext	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1654-02	Termite Treatment- Ext	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1654-03	Carpentry- Ext	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1654-04	Windows- Ext	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1654-05	Lt Wt Concrete- Ext	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1654-06	Masonry- Ext	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1654-07	Roofing- Ext	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1654-08	Stair/Rail- Ext	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1654-09	Gutters- Ext	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1654-10	Doors- Ext	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1654-11	Paint- Ext	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1654-12	Patio/Balcony/Fencing- Ext	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1654-13	Attic Ventilation/Chimneys - Ext	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1654-14	Siding- Ext	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1654-90	Other Ext Bldg Impr- Ext	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1656-01	Elect Switches/Outlets - Mech	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1656-02	Chiller - Mech	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1656-03	Boilers/Furnaces - Mech	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1656-04	Water Treatment - Mech	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1656-06	Electrical - Mech	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1656-07	Sanitary Lines - Mech	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1656-08	Sub Metering - Mech	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1656-09	Water Lines - Mech	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1656-10	Green Initiatives - Mech	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1656-90	Mech/Elect/PlumbOther - Mech	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1657-01	Exterior Upgrades - Office	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1657-02	Interior Upgrades - Office	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1657-03	Furnishings - Office	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1657-04	Equipment - Office	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1657-05	Carpet - Office	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1657-09	Other - Office	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1657-11	Exterior Upgrades - Clubroom	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1657-12	Interior Upgrades - Clubroom	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1657-13	Furnishings - Clubroom	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1657-14	Equipment - Clubroom	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1657-15	Carpet - Clubroom	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1657-19	Other - Clubroom	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1657-21	Exterior Upgrades - Fit Ctr	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1657-22	Interior Upgrades - Fit Ctr	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1657-23	Furnishings - Fit Ctr	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1657-24	Equipment - Fit Ctr	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1657-25	Carpet - Fit Ctr	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1657-29	Other - Fit Ctr	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1657-31	Exterior Upgrades - Bus Ctr	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1657-32	Interior Upgrade - Bus Ctr	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1657-33	Furnishings - Bus Ctr	Exterior Capex Expense Items
BH Management	BH Management - BH Management	GL Items & Total: Select all that record non-unit or non-interior capex expenditures	1657-34	Equipment - Bus Ctr	Exterior Capex Expense Items
